STORMNET_ID,SUM_pervio,SUM_ImpAcr,Pct_NEW
STMN0063401626,26.11604334,10.55490585,6.009790402
STMN0063401630,4.224981418,1.351598265,0
STMN0063401640,1.548377396,0.664461017,0
STMN0063401679,4.143299607,1.210558852,0
STMN0063401690,4.916989493,1.445299148,0
STMN0063401691,10.76377276,4.452499914,0
STMN0063401714,1.667684195,0.565688629,0
STMN0063401726,8.267929415,2.464449642,0
STMN0063401747,6.090102507,1.679270266,0
STMN0063401748,11.20103429,5.185395908,6.506058504
STMN0063401757,3.878658905,1.032945112,0
STMN0063401777,13.00983663,3.776948491,100
STMN0063401799,3.529258169,1.184782731,0
STMN0063401803,3.473680436,0.841979335,0
STMN0063401833,45.02829662,29.02215783,0
STMN0063401840,7.613645346,3.01728129,0
STMN0063401874,4.20204169,1.447756578,0
STMN0063401919,17.19348487,3.424650819,26.72393879
STMN0063401930,3.151164759,0.890963875,0
STMN0063401934,2.682248564,0.548202426,0
STMN0063503230,1.829711514,0.554458711,0
STMN0063503428,0.591336822,0.307605914,0
STMN0064000018,3.851330469,0.724893707,0
STMN0064000073,24.91740488,3.934679096,49.49362719
STMN0064000125,0.353106341,0.173766431,0
STMN0064000130,12.53836478,2.626524869,0
STMN0064000140,14.90911956,1.161862374,0
STMN0064000222,7.811698025,2.020832688,0
STMN0064000245,7.279300665,2.048151723,0
STMN0064000281,7.216376387,2.594945881,0
STMN0064000389,23.39424198,6.335746755,0.807262465
STMN0064000417,0.349519871,0.197669945,0
STMN0064000454,14.05030084,3.143994112,0
STMN0064055489,8.294691666,2.005751711,0
STMN0064059068,0.490009434,0.257880278,0
STMN0064070072,4.474722672,1.631054791,100
STMN0064081876,57.90453897,9.791879877,8.593669841
STMN0064503418,8.199162146,2.605762982,100
STMN0064509382,20.00181617,1.825009887,0
STMN0071401063,17.93708712,3.433008958,30.29374825
STMN0071401109,21.48640055,1.967584879,0
STMN0072073654,13.47613659,2.271354919,100
STMN0072400962,6.773630638,1.153201758,0
STMN0072400970,0.271685834,0.19075417,0
