STORMNET_ID,VDOT Length,Easement Length,Total Conveyance Length,County Area,County Area Impervious
STMN0111067665,0,305.14,914.63,74978.39,901.16
STMN0111067666,0,111.87,638.36,27879.05,2484.77
STMN0111402028,541.16,1058.4,1533.86,6738,506.88
STMN0111402029,233.8,533.26,934.73,7042.31,1588.72
STMN0111402030,1054.6,624.08,1863.11,4402.03,346.36
STMN0111402111,48.82,1390.08,1862.76,16779.95,2537.46
STMN0111402120,119.39,272.26,1794.62,3138.06,292.37
STMN0111402138,1178.04,1485.28,3683.21,85399.83,8125.78
STMN0111402145,0,256.72,259.25,663.64,0
STMN0111402151,235.38,660.01,1013.61,0,0
STMN0111402157,12.42,318.52,323.44,2963.51,0
STMN0111402174,228.46,273.82,499.87,0,0
STMN0111402185,187.29,507.74,797.68,0,0
STMN0111402210,23.63,143.42,156.23,1461.07,0.97
STMN0111402215,172.02,307.45,793.1,10255.34,1.72
STMN0111402293,6.65,78.18,83.98,86.25,57.92
STMN0111402295,9.82,183.84,202.6,3520.3,0
STMN0111402296,1130.71,857.08,2173.63,0,0
STMN0111402298,515.9,855.07,1577.79,0,0
STMN0111402319,390.14,719.07,1629.27,8915.42,80.09
STMN0111402331,202.74,1194.19,1394.05,1050.03,0
STMN0111402352,1.2,372.09,537.27,42238.06,3547.39
STMN0111402360,0,96.3,96.3,0,0
STMN0111402372,717.75,745.69,1420.75,18336.88,530.94
STMN0111402378,197.05,81.62,638.53,7679.66,209.27
STMN0111402380,1180.62,771.67,2681.92,1198.74,0
STMN0111402384,27.27,78.58,149.35,968.69,206.91
STMN0111402390,1537.09,1971.65,3528.27,1410.55,200.95
STMN0111503247,107.34,325.5,732.66,2725.4,0
STMN0111503248,52.84,375.14,433.27,6680.68,0
STMN0111503523,39.34,110.3,304.43,7138.68,0
STMN0111503525,44.37,987.3,1038,76416.33,1306.81
STMN0111503527,9.8,505.98,578.67,613.54,0
STMN0111503530,913.42,2353.08,5588.19,21855,1410.36
STMN0111503539,146.07,157.76,422.72,0,0
STMN0111503543,0,583.32,583.32,26881.54,0
STMN0112000730,0,932.7,946.3,0,0
STMN0112000889,228.91,296.42,748.75,0,0
STMN0112000903,0,606.05,738.33,0,0
STMN0112000939,0,0,21.61,0,0
STMN0112001053,212.66,496.36,689.76,0,0
STMN0112001104,504.99,868.73,1490.69,0,0
STMN0112001106,395.92,79.74,951.32,0,0
STMN0112001222,0,158.75,225.56,0,0
