STORMNET_ID,Owner,Tot_Acres,Imp_Acres,ROW_Acres,Easement_Acres,Conveyance_Len_FT,STW_Conveyance_Len_FT,row_convey_length_ft,BMP_Per_DA,VDOT_BMP_Count,Treated_Acres,Inlets,Outlets,Buildings,County_Area,County_Area_Imp,Percent_STW_Easement,Percent_ROW,Percent_Treated
STMN0444506006,VDOT,68.867485,22.980268,11.190966,7.534103,10521.15,5455.56,4230.29,2,0,14.742423,90,5,1,0.34119,0.00678,10.94,16.25,21.406943
STMN0901474701,VDOT,193.541271,102.144289,40.430771,7.509401,33328.89,12626.6,11270.79,27,0,13.627,246,3,4,19.387825,6.178438,3.88,20.89,7.040876
STMN0251411365,FFX,76.463823,24.010445,12.173041,7.409344,9638.61,6455.73,2259.37,4,0,12.71157,51,19,1,10.583386,0.207987,9.69,15.92,16.624293
STMN0491419018,FFX,261.454663,70.614323,36.368344,7.399167,30533.95,13905.9,10049.42,10,0,6.06,229,34,3,18.07039,2.973266,2.83,13.91,2.317801
STMN0344028508,FFX,73.695543,24.022997,11.334375,7.384293,9160.31,6411.88,2392.06,2,0,15.97,67,4,0,0,0,10.02,15.38,21.670238
STMN0252410790,FFX,43.499814,11.577535,6.172624,7.281869,6624.97,4038.78,1612.63,2,0,9.884573,28,14,0,2.019904,0.025584,16.74,14.19,22.723253
STMN0341024849,FFX,121.247989,49.217334,1.867219,7.274879,14559.64,3532.72,0,3,0,142.65,92,15,1,4.818951,0.000011,6,1.54,100
STMN0301410066,FFX,32.85853,12.924127,3.601295,7.176303,6237.96,2460.14,1799,2,0,4.438292,52,2,1,0.387422,0.041688,21.84,10.96,13.507275
STMN0654051103,FFX,62.093695,17.437933,6.557094,7.097309,8543.67,5327.99,1922.55,2,0,35.15,73,12,0,0,0,11.43,10.56,56.608002
STMN0902068208,FFX,122.676011,61.398699,19.419613,7.066138,25980.88,7486.36,5651.94,12,0,29.86,176,12,2,12.036773,5.673413,5.76,15.83,24.340537
STMN0184509639,FFX,12.259128,1.088995,0.795617,7.035514,822.69,686.72,7.88,0,0,0,1,2,0,6.939447,0.081411,57.39,6.49,0
STMN0692441294,FFX,157.179043,46.387944,20.02461,6.90016,17874.43,7330.75,4833.01,6,0,7.662,124,20,3,10.236927,3.119278,4.39,12.74,4.874696
STMN0274015248,FFX,11.666443,0.710658,0,6.831869,600.9,600.9,0,2,0,0,0,2,0,0,0,58.56,0,0
STMN0534046276,FFX,71.333541,21.641907,11.819968,6.812353,8825.3,5233.15,2732.02,2,0,40.509641,58,9,1,0.554751,0.004075,9.55,16.57,56.789051
STMN1013494151,FFX,156.62597,55.782569,9.977074,6.750579,20256.52,8322.76,3290.4,7,0,9.79,120,17,2,64.243264,17.872507,4.31,6.37,6.25056
STMN0904481449,FFX,234.391728,73.151758,27.77542,6.727043,27842.45,11986.63,8043.04,12,1,10.531999,201,24,3,10.92582,4.107124,2.87,11.85,4.493332
STMN0343030665,Private,122.187131,62.332221,11.48559,6.708073,20349.25,6048.77,3837.28,6,0,75.059999,111,27,2,10.810479,2.612016,5.49,9.4,61.430363
STMN0174008463,FFX,184.282252,89.267194,40.707949,6.707874,29903.45,8021.29,5372.19,6,0,0,186,36,1,1.011439,0.861896,3.64,22.09,0
STMN0441036146,Private,54.313544,26.081421,7.880895,6.609958,11364.69,2837.25,2457.47,2,0,48.64,89,9,0,0,0,12.17,14.51,89.55409
STMN0442036178,FFX,58.717381,17.672212,8.578609,6.570475,10587.56,4606.19,3600.36,3,0,39.154128,89,6,0,0.004387,0,11.19,14.61,66.682349
STMN0564046845,FFX,40.467189,5.823804,2.403751,6.527358,4107.99,1250.31,1096.25,2,0,3.574,20,6,1,0.109973,0.015463,16.13,5.94,8.831846
STMN0561044469,FFX,61.682487,25.626362,6.112734,6.495166,14283.45,7161.39,1267.61,2,0,52.29,140,11,1,9.412575,2.73985,10.53,9.91,84.772847
STMN0742512018,FFX,37.958114,2.829595,0,6.464267,1694.32,970.69,0,2,0,7.3,4,5,0,14.818462,0,17.03,0,19.231723
STMN0543047747,VDOT,8.885373,3.154839,8.885373,6.364593,1408.32,1051.2,1408.32,1,1,0,3,4,0,0,0,71.63,100,0
STMN0924479469,FFX,42.384002,10.149785,1.568208,6.361839,7495.51,5836.57,222.86,3,0,0.068,39,8,2,1.524397,0.104044,15.01,3.7,0.160438
STMN0403416898,FFX,212.901107,58.206369,45.816318,6.323163,26362.71,10346.69,11590.98,7,0,13.979471,180,15,2,6.275586,0.776848,2.97,21.52,6.566181
STMN1073051700,FFX,37.941573,13.897314,0,6.267948,7678.95,5823.76,0,1,0,40.52,89,5,2,14.421196,0,16.52,0,100
STMN0504421501,VDOT,277.708104,99.170755,45.266421,6.248432,32473.14,9502.45,12399.26,13,0,10.1397,212,17,3,13.44587,2.412946,2.25,16.3,3.651208
STMN1101498994,VDOT,47.213609,18.198276,5.094348,6.241639,11923.17,7462.91,2876.37,2,0,4.842639,94,4,1,1.468279,0.193457,13.22,10.79,10.256871
STMN0083401541,FFX,105.35465,15.193788,7.490716,6.22646,4262.2,3352.47,567.99,3,0,0.589,24,18,1,3.470344,0.538087,5.91,7.11,0.559064
STMN0783468536,FFX,47.288491,14.99415,6.03874,6.12386,7514.1,4301.06,1623.44,3,0,17.49,59,9,0,0.128791,0,12.95,12.77,36.985745
STMN0253413899,FFX,88.422783,20.0214,11.866337,5.959696,8260.27,4243.8,1912.27,8,0,0.273,46,18,1,2.262032,0.234251,6.74,13.42,0.308744
