OBJECTID_1,STORMNET_I,Owner,Count_PerDA,Type_AS,Type_BR,Type_DP,Type_FB,Type_FM,Type_GR,Type_MB,Type_OS,Type_Other,Type_PL,Type_PP,Type_RF,Type_RT,Type_SF,Type_TF,Type_TR,Type_UG,Type_VF,Type_VS,Type_WL,Type_WS,Type_WP,Sum_DRAINAGE_AREA,Sum_TREATED_AREA,Shape_Length,Shape_Area,Pct_Treated,Area_AC
1569,STMN0252410203,FFX,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,21.44,16.15,11769.3799,4434602.524,15.86368073,101.8048729
1570,STMN0252410233,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3669.355273,693378.3196,0,15.9178396
1571,STMN0252410235,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8190.503121,2133778.632,0,48.98501302
1572,STMN0252410250,VDOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.55,4.55,5925.292846,821140.4251,24.13682254,18.85086569
1573,STMN0252410258,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298.420269,240237.09,0,5.515106771
1574,STMN0252410263,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845.2292695,32429.82404,0,0.744489297
1575,STMN0252410270,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2681.487951,152478.0381,0,3.5004281
1576,STMN0252410274,FFX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160.210493,211729.3819,0,4.860657227
1577,STMN0252410289,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488.591809,193381.5873,0,4.439448136
1578,STMN0252410293,FFX,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,4943.522021,657111.5838,0,15.08526658
1579,STMN0252410324,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652.698407,97073.89394,0,2.228518876
1580,STMN0252410331,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302.871859,179752.9282,0,4.126575923
1581,STMN0252410365,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185.419622,635713.2662,0,14.59402684
1582,STMN0252410380,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332.729747,36406.97306,0,0.83579244
1583,STMN0252410399,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2948.785256,331444.1067,0,7.608940139
1584,STMN0252410411,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6565.783344,1036500.965,0,23.79488318
1585,STMN0252410419,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.9879377,23836.04137,0,0.547202404
1586,STMN0252410426,FFX,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.05,0,8741.240833,3131277.714,0,71.88453257
1587,STMN0252410454,FFX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4470.466801,390319.8198,0,8.96054594
1588,STMN0252410565,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5011.575518,910067.6909,0,20.89236297
1589,STMN0252410693,FFX,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,3410.067589,448288.2602,2.332061558,10.29132354
1590,STMN0252410694,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239.779074,44442.49194,0,1.020263308
1591,STMN0252410739,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.1300108,19524.99906,0,0.448234095
1592,STMN0252410790,FFX,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.84,9.884573,7742.142377,1894844.401,22.7232525,43.49981589
1593,STMN0252410810,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680.9195407,18230.96517,0,0.418527045
1594,STMN0252410821,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341.354964,118593.2875,0,2.722538152
1595,STMN0252410822,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.0500944,6770.460073,0,0.155428998
1596,STMN0252410868,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3959.385831,443406.8378,0,10.17926105
1597,STMN0252410876,Private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184.511537,508588.299,0,11.67562749
1598,STMN0252410885,VDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5231.863051,1418733.797,0,32.56977667
1599,STMN0252503733,Private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451.57887,278486.8227,0,6.39320332
1600,STMN0252503734,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719.054559,76241.82928,0,1.750278564
1601,STMN0252503735,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360.65425,76635.73836,0,1.759321508
1602,STMN0252503736,Private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036.186985,389972.5919,0,8.95257465
1603,STMN0252510006,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556.824449,84548.14219,0,1.940966033
1604,STMN0252513952,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.844532,13006.53173,0,0.298590077
1605,STMN0252515247,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906.0664635,30142.90004,0,0.691988536
1606,STMN0252518882,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.1714578,16745.52441,0,0.384425881
1607,STMN0252518883,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.2653397,18629.74593,0,0.427681828
1608,STMN0253020454,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868.908563,151762.938,0,3.484011593
1609,STMN0253086932,FFX,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.28,8.64,3836.257118,522046.5802,72.09258884,11.98458835
1610,STMN0253095863,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3249.080708,283471.8509,0,6.507644279
1611,STMN0253095901,VDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248.089386,75481.72524,0,1.732828906
1612,STMN0253413823,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2681.25841,363978.4341,0,8.355828512
1613,STMN0253413829,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651.244455,84117.82266,0,1.931087216
1614,STMN0253413833,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796.494799,131313.0155,0,3.014544094
1615,STMN0253413846,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154.682283,80621.57324,0,1.850824052
1616,STMN0253413882,FFX,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.76,0,6456.228646,1194843.204,0,27.42993533
1617,STMN0253413899,FFX,8,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,52.203,0.273,10378.47869,3851681.036,0.308743957,88.42278335
1618,STMN0253413922,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518.834298,305289.7865,0,7.008517164
1619,STMN0253413924,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511.811831,121418.3886,0,2.787393809
1620,STMN0253413937,FFX,36,0,0,2,0,0,0,4,0,0,0,0,0,0,2,26,0,2,0,0,0,0,0,19.66,8.65,11824.51863,1931584.382,19.50691341,44.34325317
1621,STMN0253413962,FFX,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,11.17,5.19,2472.315869,296829.9818,76.16329534,6.814305995
1622,STMN0253413974,Private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520.950534,263019.4495,0,6.038119871
1623,STMN0253413982,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946.181973,178465.3666,0,4.097017457
1624,STMN0253414009,Private,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81.61,37.43,8794.774652,2444377.695,66.7018146,56.11541488
1625,STMN0253414016,VDOT/FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987.2733564,31220.13826,0,0.716718621
1626,STMN0253414026,Private,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0,3024.383847,402343.8436,0,9.236580647
1627,STMN0253414037,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575.770677,229341.698,0,5.264981988
1628,STMN0253414047,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839.992754,175112.3661,0,4.020042851
1629,STMN0253414050,VDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057.194336,46325.86141,0,1.063499695
1630,STMN0253414067,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.171825,83335.55939,0,1.913128851
1631,STMN0253414073,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057.625108,126593.8923,0,2.906207499
1632,STMN0253414093,FFX,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,7634.688821,1594454.428,0,36.60378341
1633,STMN0253414118,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353.806862,528216.8964,0,12.12623988
1634,STMN0253414130,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.419532,16615.55011,0,0.38144207
1635,STMN0253414137,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566.088536,78626.54469,0,1.805024316
1636,STMN0253414178,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671.371177,231381.5763,0,5.311811337
1637,STMN0253414184,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361.653114,121634.9176,0,2.79236465
1638,STMN0253414203,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036.549109,290820.0681,0,6.67633681
1639,STMN0253414243,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475.139984,278804.9226,0,6.400505919
1640,STMN0253414281,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4580.618282,659908.9451,0,15.14948542
1641,STMN0253414289,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5117.963232,713192.3337,0,16.3727086
1642,STMN0253414293,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.233068,222936.7534,0,5.117944103
1643,STMN0253414309,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3104.658517,308383.7895,0,7.079545983
1644,STMN0253414316,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246.305337,62895.86869,0,1.443896241
1645,STMN0253414320,FFX,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,5.578305,5813.836209,1315972.52,18.46467082,30.21069292
1646,STMN0253414327,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919.745986,146310.4653,0,3.358839544
1647,STMN0253414336,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649.604158,123350.7109,0,2.831754002
