STORMNET_ID,Owner,total_acres,vdot_bmp_count,swe_perc,row_perc,total_convey_length_ft,swe_convey_length_ft,row_convey_length_ft,total_county_acres,imperv_county_acres
STMN0063401777,FFX,16.79,0,7.96,14.51,1844.54,1331.18,615.68,0.00,0.00
STMN0063401803,FFX,4.32,0,1.44,13.06,311.92,266.12,49.44,0.00,0.00
STMN0063401874,FFX,5.65,0,6.80,17.59,1207.82,950.66,204.81,0.00,0.00
STMN0063401878,VDOT,2.59,0,46.86,23.96,58.57,26.22,54.45,0.00,0.00
STMN0063401897,VDOT,22.19,0,0.12,14.39,342.92,11.39,342.92,0.00,0.00
STMN0063401919,FFX,20.62,0,8.06,19.86,2167.81,791.56,964.19,0.00,0.00
STMN0063401934,FFX,3.23,0,2.27,10.68,217.36,131.75,45.80,0.00,0.00
STMN0063503230,FFX,2.38,0,3.77,12.75,219.86,153.23,52.06,0.00,0.00
STMN0063503428,FFX,0.90,0,11.50,37.04,300.18,23.26,65.14,0.00,0.00
SMTN0764510879,VDOT,6.17,0,0.00,19.20,731.74,0.00,710.68,0.00,0.00
STML0154106825,Private,0.41,0,0.00,88.01,56.85,0.00,37.70,0.00,0.00
STML0353001063,Private,2.70,0,0.00,7.46,1051.94,0.00,79.88,0.00,0.00
STMN0033512108,VDOT,6.56,0,0.86,16.02,72.41,0.00,72.41,0.00,0.00
STMN0034400284,VDOT,1.23,0,1.53,24.84,60.60,0.00,52.91,0.00,0.00
STMN0043400104,VDOT,0.29,0,0.00,36.43,47.18,0.00,46.80,0.00,0.00
STMN0043400175,FFX,0.71,0,0.15,36.97,340.84,0.00,96.87,0.00,0.00
STMN0061401260,VDOT,2.39,0,0.04,73.95,142.23,0.00,142.23,0.00,0.00
STMN0063058977,VDOT,6.10,0,0.00,8.59,1301.94,0.00,90.31,0.00,0.00
STMN0063401592,FFX,2.10,0,2.47,13.73,157.99,0.00,51.05,0.00,0.00
STMN0063401643,VDOT,1.82,0,0.19,18.11,37.98,0.00,37.98,0.00,0.00
STMN0063401672,VDOT,3.81,1,0.00,16.85,174.71,0.00,8.03,0.00,0.00
STMN0063401930,FFX,4.04,0,1.76,18.63,340.55,0.00,49.91,0.00,0.00
STMN0063401596,VDOT,1.89,0,0.00,100.00,249.39,0.00,249.39,0.00,0.00
STMN0022053187,VDOT,13.69,0,1.04,0.00,353.94,239.10,0.00,0.00,0.00
STMN0022066486,Loudoun County,9.49,0,0.11,10.68,11.97,11.97,0.00,0.00,0.00
STMN0022066496,Loudoun County,5.72,0,0.18,1.41,94.15,44.95,0.00,0.00,0.00
STMN0024400416,Private,22.82,0,3.10,5.54,230.20,133.96,0.00,0.00,0.00
STMN0024400654,FFX,0.37,0,17.74,31.26,100.41,91.52,0.00,0.00,0.00
STMN0024400656,FFX,2.76,0,4.80,7.26,127.26,127.26,0.00,0.00,0.00
STMN0024400666,FFX,3.53,0,0.84,0.00,174.39,46.60,0.00,0.00,0.00
STMN0033400303,FFX,1.58,0,7.82,0.00,186.00,186.00,0.00,0.00,0.00
STMN0033400305,FFX,1.05,0,12.05,0.00,240.19,145.05,0.00,0.00,0.00
STMN0033400323,Private,9.26,0,1.62,0.16,576.15,111.59,0.00,0.00,0.00
STMN0033400347,FFX,1.00,0,3.11,21.59,122.74,7.93,0.00,0.00,0.00
STMN0043400185,FFX,9.54,0,1.30,2.49,736.88,389.91,0.00,0.00,0.00
STMN0054053211,Private,11.81,0,0.16,0.01,524.37,25.40,0.00,0.00,0.00
STMN0054057441,FFX,1.42,0,8.57,12.29,631.07,273.09,0.00,0.00,0.00
STMN0061401250,FFX,1.31,0,6.51,12.89,155.73,147.59,0.00,0.00,0.00
STMN0061401358,FFX,1.74,0,2.04,12.72,61.50,61.50,0.00,0.00,0.00
STMN0062055386,FFX,1.64,0,4.35,0.00,477.14,252.65,0.00,0.00,0.00
STMN0062401120,FFX,0.58,0,17.89,36.27,94.31,94.31,0.00,0.00,0.00
STMN0063054640,FFX,0.05,0,28.35,0.00,31.35,29.62,0.00,0.00,0.00
STMN0063401602,FFX,6.41,0,4.02,0.23,1181.12,901.26,0.00,0.00,0.00
STML0353001062,Private,0.98,0,1.23,0.00,305.29,0.00,0.00,0.00,0.00
STML0353001064,Private,1.72,0,0.46,0.00,622.16,0.00,0.00,0.00,0.00
STMN0024400692,Private,5.02,0,0.00,0.00,432.55,0.00,0.00,0.00,0.00
STMN0033400388,Private,0.73,0,0.09,0.00,3.85,0.00,0.00,0.00,0.00
STMN0034400253,VDOT,0.57,0,0.00,8.14,21.12,0.00,0.00,0.00,0.00
STMN0034400275,Private,30.85,0,0.00,0.00,293.39,0.00,0.00,0.00,0.00
STMN0043400125,Private,1.83,0,0.00,0.00,308.47,0.00,0.00,0.00,0.00
STMN0043400127,Private,0.73,0,0.00,0.00,231.80,0.00,0.00,0.00,0.00
STMN0043400134,FFX,1.46,0,4.32,5.76,85.53,0.00,0.00,0.00,0.00
STMN0043400144,Private,1.09,0,0.00,0.00,434.70,0.00,0.00,0.00,0.00
STMN0024400412,VDOT,10.16,0,3.01,3.68,0.00,0.00,0.00,0.00,0.00
STMN0073000442,FFX,40.67,0,5.58,17.23,3027.62,2151.47,697.30,1.72,0.04
STMN0082400751,FFX,30.60,0,4.34,8.68,571.82,514.23,53.16,0.52,0.00
STMN0102402395,FFX,6.38,0,4.37,25.63,990.59,393.52,434.16,0.15,0.01
STMN0102402407,FFX,36.99,0,7.60,18.56,6108.60,2805.63,3257.21,0.06,0.01
